14	1	251	330	480	360
14	2	199	321	351	361
18	1	250	331	480	360
18	2	199	321	352	359
22	1	251	331	480	360
22	2	199	321	352	361
26	1	250	331	480	360
26	2	216	298	364	359
30	1	250	331	480	361
30	2	203	275	339	360
34	1	250	330	480	360
34	2	191	285	328	360
38	1	250	330	480	360
38	2	163	280	293	360
42	1	250	330	480	360
42	2	143	252	293	359
46	1	248	329	480	361
46	2	144	251	293	359
50	1	248	329	480	360
50	2	143	251	294	361
54	1	248	329	480	360
54	2	163	251	301	360
58	1	248	329	480	360
58	2	150	227	294	360
62	1	248	329	480	360
62	2	143	227	273	360
