1	1	313	109	320	105	320	122	313	125
2	1	310	107	310	123	317	119	317	102
3	1	306	109	307	124	318	120	316	104
4	1	304	110	304	125	320	116	320	97
5	1	301	110	302	126	320	115	320	94
6	1	297	113	297	130	320	115	320	95
7	1	293	115	293	136	318	112	318	92
8	1	289	116	289	136	320	111	320	91
9	1	287	116	287	137	320	109	320	88
10	1	285	116	285	142	320	109	320	89
11	1	283	117	284	145	320	112	320	91
12	1	279	121	279	149	320	115	320	90
13	1	276	123	277	151	319	115	319	93
14	1	271	123	271	154	319	117	318	86
15	1	269	122	272	153	318	117	316	92
16	1	268	122	269	152	317	118	313	94
17	1	272	117	274	152	315	119	313	92
18	1	271	117	273	150	320	116	318	89
19	1	269	120	271	152	320	118	319	92
20	1	264	123	267	159	318	116	318	92
21	1	262	122	264	150	318	115	315	94
22	1	260	127	261	156	316	114	310	95
23	1	255	122	258	151	313	115	310	90
24	1	252	129	253	153	310	120	308	95
25	1	247	131	247	162	307	121	307	95
26	1	244	133	244	166	305	121	305	92
27	1	242	136	242	166	303	122	303	93
28	1	239	136	239	164	301	122	301	97
29	1	238	136	238	164	299	125	297	98
30	1	233	137	234	166	298	126	296	97
31	1	232	139	233	164	296	130	292	103
32	1	229	137	230	163	291	131	287	107
33	1	226	139	226	167	286	134	285	105
34	1	222	144	222	172	279	138	278	107
35	1	218	144	218	171	279	136	278	109
36	1	214	141	214	172	274	136	274	108
37	1	209	147	209	177	279	138	275	111
38	1	204	151	204	178	273	143	271	109
39	1	204	149	205	174	268	147	265	119
40	1	201	151	201	176	265	149	260	117
