1	1	20	120	48	169
1	2	253	119	282	168
1	3	344	24	377	92
1	4	404	6	437	73
1	5	504	53	533	104
1	6	555	4	600	71
1	7	361	112	407	179
1	8	251	252	293	321
1	9	297	234	341	293
1	10	437	230	557	296
1	11	514	197	559	264
3	1	12	120	40	169
3	2	247	119	276	169
3	3	338	26	373	94
3	4	395	8	428	76
3	5	487	63	514	112
3	6	534	3	576	69
3	7	381	102	426	168
3	8	224	264	269	330
3	9	306	225	348	284
3	10	435	233	554	300
3	11	514	199	559	266
5	1	11	122	40	171
5	2	247	124	278	174
5	3	332	34	367	102
5	4	393	10	427	78
5	5	483	62	510	111
5	6	531	4	577	71
5	7	377	106	424	170
5	8	222	264	264	330
5	9	306	225	349	286
5	10	435	243	554	311
5	11	516	204	561	273
7	1	12	116	41	166
7	2	249	120	276	171
7	3	332	37	367	104
7	4	393	9	427	77
7	5	481	62	508	110
7	6	529	8	572	73
7	7	386	104	431	172
7	8	219	266	265	330
7	9	306	225	349	286
7	10	435	243	554	309
7	11	517	202	561	271
9	1	12	120	39	169
9	2	250	124	278	173
9	3	327	37	362	105
9	4	391	9	425	76
9	5	478	63	505	112
9	6	529	5	573	72
9	7	389	101	434	167
9	8	214	268	258	335
9	9	308	223	349	286
9	10	433	242	554	309
9	11	515	200	558	270
11	1	25	118	54	169
11	2	251	122	281	173
11	3	342	31	377	98
11	4	399	14	434	80
11	5	505	60	532	109
11	6	554	4	599	72
11	7	367	113	413	179
11	8	245	253	289	321
11	9	298	234	339	294
11	10	437	228	559	296
11	11	514	207	560	273
13	1	21	122	49	170
13	2	250	122	280	173
13	3	341	30	377	98
13	4	399	12	433	79
13	5	504	62	533	112
13	6	549	6	593	70
13	7	370	114	415	178
13	8	244	255	289	324
13	9	296	233	339	294
13	10	440	228	560	294
13	11	514	202	560	271
15	1	21	123	48	171
15	2	251	122	282	173
15	3	343	31	376	97
15	4	403	13	437	81
15	5	499	57	527	107
15	6	541	4	587	71
15	7	367	112	413	178
15	8	237	259	283	326
15	9	299	231	341	290
15	10	439	236	558	303
15	11	510	204	558	270
17	1	21	122	48	170
17	2	251	121	280	173
17	3	343	22	377	88
17	4	398	11	432	78
17	5	497	54	526	105
17	6	541	3	588	73
17	7	372	104	416	172
17	8	238	258	283	326
17	9	299	226	341	289
17	10	437	234	559	302
17	11	511	200	557	270
19	1	20	122	49	173
19	2	250	120	278	169
19	3	343	25	377	90
19	4	401	13	433	80
19	5	495	58	526	107
19	6	541	4	587	69
19	7	371	107	418	175
19	8	236	258	281	324
19	9	308	225	349	284
19	10	435	234	555	302
19	11	508	202	554	268
21	1	17	122	47	173
21	2	250	124	279	173
21	3	341	29	377	94
21	4	398	14	430	80
21	5	492	56	520	105
21	6	538	4	583	69
21	7	373	105	419	173
21	8	229	258	277	325
21	9	306	226	349	285
21	10	435	241	555	307
21	11	508	200	555	268
23	1	15	121	43	169
23	2	248	119	276	171
23	3	340	29	374	96
23	4	395	15	430	83
23	5	492	59	517	108
23	6	538	3	582	71
23	7	379	104	425	172
23	8	225	257	270	323
23	9	307	226	348	285
23	10	433	241	555	308
23	11	513	201	558	268
25	1	12	124	40	172
25	2	250	123	280	173
25	3	342	28	376	94
25	4	392	9	428	76
25	5	488	60	517	111
25	6	538	5	582	71
25	7	379	105	424	173
25	8	225	257	270	327
25	9	306	224	350	285
25	10	435	241	555	309
25	11	514	203	557	271
